Section00FFF - Uprights,,,,,,,,,,,,,,
\\athos.cse.sdsmt.edu\FourFront\opy2\OPY2\15.2238.061 Ft. Richardson National Cemetery,,,,,,,,,,,,,,
Metrics,BirthDate,DeathDate,BirthDateS_D,DeathDateS_D,BirthDateS_D_2,DeathDateS_D_2,BirthDateS_D_3,DeathDateS_D_3,BirthDateS_D_4,DeathDateS_D_4,BirthDateS_D_5,DeathDateS_D_5,BirthDateS_D_6,DeathDateS_D_6
Avg char diff per record (%),0.458333333,2.375,0.208333333,0.333333333,0,0,0,0,0,0,0,0,0,0
Perfect Match (%),92.30769231,92.760181,24.88687783,27.14932127,0,0,0,0,0,0,0,0,0,0
Incorrect (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missing Match (%),5.429864253,0,1.809954751,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
Avg char diff per record,"If there was a difference in dates, the average number of characters a user needs to change to fix it",,,,,,,,,,,,,
Perfect Match,100% match,,,,,,,,,,,,,
Incorrect,MS access is empty but the Autofill categorized it to a certain position,,,,,,,,,,,,,
Missing Match,Date exists in the MS access but empty in the Autofill extraction,,,,,,,,,,,,,
